"id","question_code","answer","comment","first_label","second_label"
"LOC201","ATMSG-Perception","Only some points changed or I could add some things. That was because I analyzed a game this way the first time and learned what points are important to look at. (Abstractions table)","ATMSG helped them analyze better","ATMSGHelpful","ATMSGHelpful"
"LOC201","ATMSG-Suggestion","The methodology is good, but some points (mostly external) could be described more to know what to write there.","needs more explanation in some points of ATMSG","ATMSGNeedsExplanation","ATMSGNeedsExplanation"
"LOC201","Comment","It was a bit difficult to analyze Senior PM Game complete, because many features like 'sandbox' or more difficult projects (Gamma, Delta and others) can only be enabled with a subscription.",,"DifficultGame","DifficultGame"
"LOC201","Comparison01-EasierUnderstand","LM-GM was easier to understand because there were not many different aspects on which you have to concentrate on. Here the learning mechanics and the game mechanics are important, in SGADM other aspects like external aspects may be a bit difficult to find or to understand.","LMGM is simpler, ATMSG has more aspects to consider","LMGMSimpler, ATMSGMoreComplete","LMGMSimpler, ATMSGMoreDetailed"
"LOC201","Comparison02-EasierApply","Concerning to (1), LM-GM was easier to apply, just because it was easier to understand.","LMGM is easier to understand/apply","LMGMSimpler","LMGMSimpler"
"LOC201","Comparison03-BetterUnderstanding","This is difficult to answer because both games gave a better understanding of the characteristics of the game. But I think LM-GM helped me more to understand the characteristics, because the game itself (not concerning the methodology) was more difficult to analyze than Vikings with SGADM. LM-GM concentrates on less aspects but amplifies them better than SGADM. ","LMGM focus on less aspects but amplifies them better","LMGMMoreFocused","LMGMMoreFocused"
"LOC201","LMGM-Perception","After analyzing it, you get a much better feeling of what is important in the game. At the beginning, you do not even know which aspects are teached when they are well integrated with the game mechanics. But when you get a closer look with the methodology, you see what is important to learn in the games","LMGM helps see what aspects are important in the game","LMGMHelpful","LMGMHelpful"
"LOC201","LMGM-Suggestion","It would be good to become maybe one complete example of a game to see how experts analyze the game. This would help to handle the methodology a bit better.","LMGM needs example","LMGMNeedsExample","LMGMNeedsExample"
"LOC202","ATMSG-Perception","No",,,
"LOC202","ATMSG-Suggestion",,,,
"LOC202","Comment",,,,
"LOC202","Comparison01-EasierUnderstand","The LM-GM was easier to understand, because it is not that complex as the SGADM. In the SGADM are the game and learning mechanics separated so that you have the main topic learning mechanics and than some subtopics. ","LMGM is simpler.","LMGMSimpler","LMGMSimpler"
"LOC202","Comparison02-EasierApply","LM-GM was easier to apply, because it wasn’t that complex to understand for me and I could understand the methodology much faster.","LMGM can be understood faster","LMGMLowerLearningCurve","LMGMLowerLearningCurve"
"LOC202","Comparison03-BetterUnderstanding","A better understanding of the characteristics of the games gave me the SGADM, because it is not that superficial as the LM-GM.  The SGADM has more aspects which makes the game better to understand. ","ATMSG goes deeper than LMGM","ATMSGMoreComplete","ATMSGMoreDetailed"
"LOC202","LMGM-Perception","No",,,
"LOC202","LMGM-Suggestion",,,,
"LOC203","ATMSG-Perception","It changed a little bit but not that much. It changed my view of the learning topics and how to teach tem, but I think not that much because we analuzed to games before, with a different view of the games, but I think it was a little bit useful.","ATMSG added understanding ref: learning aspects","ATMSGHelpful","ATMSGHelpful"
"LOC203","ATMSG-Suggestion","I don't get the exact difference between part II and part III. This was the most confusing point in this methodology. I think I wrote in these parts nearly the same.","ATMSG has too many repetitive steps, needs simplifying","ATMSGNeedsSimplifying","ATMSGNeedsSimplifying"
"LOC203","Comment","In my opinion it would be useful to go through both templates with someone who is familiar with it before  starting to work with it. Maybe it would be more clear what exactly is to do. ","both methodologies need better explanation and examples","ExplanationsNotGood","ExplanationsNotGood"
"LOC203","Comparison01-EasierUnderstand","I think the LM-GM was easier to understand because in the SGADM there was for me something double in  the tables and I wasn’t sure what is the different between these questions. And the template from the LM-GM  is quiet easy to understand except the 'game map”. I wasn’t sure what I should fill in there. ","ATMSG is repetitive, LMGM is simpler","ATMSGRepetitive, LMGMSimpler","ATMSGRepetitive, LMGMSimpler"
"LOC203","Comparison02-EasierApply","The LM-GM was easier to apply (for the case I did it the right way). Because here it was clear that you should fill in in the template (but the 'Game Map'). And the LM-GM is more clearly in his structure. The SGADM is sometimes a bit confusing because there are maybe little differences between the single questions. ","LMGMis Simpler, Easier and cleaner, while ATMSG is repetitive","LMGMSimpler, LMGMEasier, LMGMClearer, ATMSGRepetitive","LMGMSimpler, LMGMEasier, LMGMClearer, ATMSGRepetitive"
"LOC203","Comparison03-BetterUnderstanding","The SGADM give me a better understanding I guess, because it was not so clearly what to do so I need to  investigate more to work with this template so I read more about serious games in the internet to work with  this template.  But maybe I would have been more comfortable with the SGADM if I would have worked with this template  after the LM-GM. ","ATMSG requires some learning curve","ATMSGMoreComplete, ATMSGHigherLearningCurve","ATMSGMoreDetailed, ATMSGHigherLearningCurve"
"LOC203","LMGM-Perception","No, because it wasn’t my first time to analyze a game. ","No change in perception because the game was already analyzed before with the other model.","SecondModelNoAddedInsights","SecondModelNoAddedInsights"
"LOC203","LMGM-Suggestion","On the handout there could be an explanation what you should fill in in the 'Game Map'. This is not so cleary  defined. ","needs example","LMGMNeedsExample","LMGMNeedsExample"
"LOC205","ATMSG-Perception","After the analyzing I did not notice any change of my perception of the game. Because the game use a easy way of teaching and ?? And so nothing it can not get changed very well.","(misunderstood question)",,
"LOC205","ATMSG-Suggestion","I think the methodology do not need some improve because it is for young students So it has to be kept easy. If the methodology is too much or complicated the young students will not understand it or lose the motivation to play the game.  - Maybe only small improvements but not very important. All in all: I think the methodology is good for young students how it is and do not really need any improvements.","thinks the ATMSG model is easy","ATMSGEasy","ATMSGEasy"
"LOC205","Comment","To answer the question truly with a good explanation, I need my sheet about SGADM !  ",,,
"LOC205","Comparison01-EasierUnderstand","To answer the question truly with a good explanation, I need my sheet about SGADM !  ",,,
"LOC205","Comparison02-EasierApply","To answer the question truly with a good explanation, I need my sheet about SGADM !  ",,,
"LOC205","Comparison03-BetterUnderstanding","To answer the question truly with a good explanation, I need my sheet about SGADM !  ",,,
"LOC205","LMGM-Perception","Mostly perception of the game do not changed after using it. But in some topics I understand, after the methodology to analyze, better why they use some elements.  ","LMGM helps see why some elements were used","LMGMHelpful","LMGMHelpful"
"LOC205","LMGM-Suggestion","- Design; - Better (in form of a explaining text) feedback for the player; - A better introductions system for the player at start.","(misunderstood question)",,
"LOC206","ATMSG-Perception","Yes but not exactly my perception of the game have changed, but my perception of the teaching/learning tools/methods. After using the metodology I've realize that so many things in the game have a teaching function.","ATMSG helped them analyze better the pedagogical aspects","ATMSGHelpful","ATMSGHelpful"
"LOC206","ATMSG-Suggestion","I would leave off Part I of the SGADM Game Analysis (activity map) because these are (in my opinion) unnecessary points, which everyone who's playing the game knows. So the methodology isn't unnecessarily complex and you save time.","ATMSG has repetitive steps, needs simplifying","ATMSGNeedsSimplifying","ATMSGNeedsSimplifying"
"LOC206","Comment",,,,
"LOC206","Comparison01-EasierUnderstand","SGADM, because you have a better pattern.","ATMSG has a better pattern","ATMSGBetterStructure","ATMSGMoreDetailed"
"LOC206","Comparison02-EasierApply","SGADM, because you have a better pattern.","ATMSG has a better pattern","ATMSGBetterStructure","ATMSGMoreDetailed"
"LOC206","Comparison03-BetterUnderstanding","In my opinion both methodology are similar in this point but I would prefer the SGADM because it´s clearer than the LM-GM and easier to understand and apply.","ATMSG is clearer than LMGM, Both models are similar","ATMSGClearer, BothModelsSimilar","ATMSGClearer, BothModelsSimilar"
"LOC206","LMGM-Perception","My perception doesn't chanced after using the methodology to analyze it but the methodology have complement my perception in few points.  ","LMGM complemented his perception of game","LMGMSomewhatHelpful","LMGMSomewhatHelpful"
"LOC206","LMGM-Suggestion","Yes, an example of the table and game map would simplify the usage of this methodology very much. So you can easier imagine what you have to do. For example in the SGADM you have a table which shows you what you have to fill in the boxes.","ATMSG needs example","LMGMNeedsExample","LMGMNeedsExample"
"LOC208","ATMSG-Perception","No",,,
"LOC208","ATMSG-Suggestion",,,,
"LOC211","Comment",,,,
"LOC211","Comparison01-EasierUnderstand",,,,
"LOC211","Comparison02-EasierApply",,,,
"LOC211","Comparison03-BetterUnderstanding",,,,
"LOC211","LMGM-Perception","Not really, maybe I haven't understand the LM-GM analysis quite enough.","didnt understand LMGM","LMGMNotUnderstood","LMGMNotUnderstood"
"LOC211","LMGM-Suggestion","Maybe a better introduction.","LMGM needs better explanation","LMGMNeedsExplanation","LMGMNeedsExplanation"
"LOC212","Comment",,,,
"LOC212","Comparison01-EasierUnderstand",,,,
"LOC212","Comparison02-EasierApply",,,,
"LOC212","Comparison03-BetterUnderstanding",,,,
"LOC212","LMGM-Perception","Yes, the perception of the game changed after doing the methodology. After the analysis I have a more detailed impression of the game. More time to think about the mechanics behind the game let me see the game from different views. Also I consider now the structure of the game and the effect on the game player.","lmgm gave more detailed view on game","LMGMHelpful","LMGMHelpful"
